iter	Passed	Remaining
0	48	48153
1	89	44852
2	140	46633
3	177	44275
4	221	44080
5	257	42728
6	290	41158
7	320	39772
8	368	40562
9	401	39763
10	437	39360
11	470	38747
12	530	40305
13	569	40129
14	621	40797
15	673	41448
16	720	41660
17	752	41028
18	788	40717
19	834	40885
20	867	40428
21	902	40109
22	926	39360
23	961	39102
24	986	38461
25	1002	37564
26	1020	36779
27	1046	36337
28	1064	35642
29	1075	34790
30	1096	34266
31	1126	34085
32	1144	33527
33	1165	33121
34	1192	32888
35	1238	33163
36	1273	33136
37	1309	33147
38	1344	33130
39	1380	33135
40	1407	32912
41	1468	33486
42	1518	33791
43	1562	33952
44	1598	33933
45	1635	33914
46	1677	34014
47	1718	34079
48	1744	33849
49	1781	33856
50	1823	33938
51	1867	34041
52	1905	34040
53	1935	33905
54	1955	33603
55	1999	33708
56	2021	33442
57	2052	33330
58	2101	33515
59	2135	33462
60	2167	33368
61	2193	33191
62	2207	32829
63	2222	32509
64	2247	32323
65	2266	32068
66	2280	31757
67	2296	31476
68	2313	31219
69	2327	30921
70	2343	30657
71	2357	30388
72	2393	30398
73	2427	30375
74	2457	30305
75	2488	30249
76	2527	30292
77	2556	30219
78	2605	30374
79	2640	30362
80	2676	30368
81	2719	30445
82	2755	30438
83	2791	30440
84	2821	30367
85	2852	30313
86	2885	30285
87	2922	30284
88	2957	30277
89	2990	30232
90	3018	30150
91	3065	30255
92	3101	30246
93	3137	30240
94	3161	30118
95	3192	30060
96	3218	29957
97	3245	29872
98	3274	29799
99	3294	29650
100	3325	29595
101	3345	29450
102	3359	29258
103	3384	29156
104	3399	28980
105	3418	28833
106	3436	28681
107	3457	28553
108	3474	28402
109	3488	28228
110	3512	28135
111	3533	28014
112	3553	27896
113	3602	28001
114	3641	28020
115	3684	28074
116	3722	28095
117	3761	28112
118	3805	28171
119	3847	28213
120	3876	28158
121	3911	28149
122	3956	28209
123	3987	28168
124	4021	28151
125	4060	28164
126	4090	28116
127	4121	28079
128	4156	28066
129	4192	28054
130	4222	28010
131	4259	28010
132	4296	28007
133	4337	28032
134	4368	27987
135	4385	27859
136	4420	27845
137	4448	27786
138	4466	27669
139	4501	27650
140	4524	27563
141	4553	27512
142	4586	27488
143	4600	27347
144	4616	27219
145	4631	27090
146	4650	26984
147	4668	26877
148	4681	26739
149	4693	26596
150	4703	26446
151	4730	26388
152	4764	26374
153	4812	26439
154	4863	26512
155	4897	26497
156	4942	26540
157	5002	26657
158	5042	26669
159	5087	26711
160	5122	26695
161	5162	26702
162	5202	26715
163	5235	26686
164	5267	26657
165	5314	26702
166	5350	26690
167	5400	26746
168	5433	26715
169	5476	26736
170	5511	26719
171	5539	26665
172	5558	26569
173	5590	26536
174	5609	26445
175	5634	26380
176	5649	26266
177	5677	26216
178	5696	26128
179	5718	26050
180	5740	25975
181	5757	25877
182	5775	25785
183	5795	25702
184	5812	25606
185	5826	25499
186	5837	25380
187	5853	25282
188	5870	25191
189	5884	25086
190	5899	24989
191	5913	24887
192	5927	24782
193	5941	24685
194	5955	24586
195	5984	24547
196	6019	24535
197	6052	24514
198	6083	24486
199	6130	24521
200	6166	24512
201	6211	24538
202	6247	24526
203	6281	24509
204	6315	24490
205	6347	24465
206	6397	24506
207	6451	24566
208	6503	24614
209	6538	24598
210	6582	24615
211	6616	24592
